cod;code;group;name_en;name;energy;protein;carbs;fat;nonSaturatedFat;saturatedFat;sugar;fiber;cholesterol;potassium;sodium;salt;fresh;allergens
26001;26001;4;American bass, raw;Lubina americana, cruda;113;20,3;0;3,58;2,38;0,76;0;0;78,3;356;76,3;0,19;TRUE;[]
10048;10048;4;American or Canadian sea scallop, without coral, raw;Vieira americana o canadiense, sin coral, cruda;81,3;17,3;1,78;0,54;0,34;0,213333;0;0;0;0;0;0;TRUE;[9]
11167;11167;10;American-style sauce, prepacked;Salsa estilo americano, envasada;0;1,42;9,48;41,8;37,5;3,7;5,1;0,2;0;0;1180;2,94;FALSE;[]
26000;26000;4;Anchovy, fillets, in oil, semi-preserved, drained;Anchoa, filetes, en aceite, semiconservada, escurrida;182;26,4;0,2;8,45;4,95;3,08;0;0,25;75,5;355;4210;11,3;FALSE;[]
25999;25999;4;Anchovy, fillets, rolled with capers, semi-preserved, drained;Anchoa, filetes, enrollados con alcaparras, semiconservada, escurrida;198;24,8;1,48;10,3;6,58;0,86;0;1;0;0;0;0;FALSE;[]
26177;26177;4;Anchovy, in salt (semi-preserved);Anchoa, en sal (semiconservada);128;25;0;3,1;1,81;0,82;0;0;70;215;3600;9,01;FALSE;[]
26208;26208;4;Anglerfish (Lophius budegassa), raw;Rape (Lophius budegassa), crudo;70,2;16,7;0;0,37;0,194;0,084;0;0;44,1;339;127;0,32;TRUE;[]
26081;26081;4;Anglerfish, grilled;Rape, a la parrilla;98,2;23;0;0,68;0,3;0,19;0;0;26;472;24,5;0,061;TRUE;[]
26018;26018;4;Anglerfish, raw;Rape, crudo;67,2;15,1;0;0,74;0,51;0,2;0;0,2;25;296;77,8;0,19;TRUE;[]
1010;1010;6;Anis spirit, diluted (1+5);Anís, diluido (1+5);27,6;0;6,89;0;0;0;0;0;0;0;1,99;0,0063;FALSE;[]
13038;13038;2;Apple compote;Compota de manzana;102;0,23;24,4;0,21;0,0584;0,017;20,7;1,53;0;104;0;0;TRUE;[]
13151;13151;2;Apple compote, reduced sugar;Compota de manzana, reducida en azúcar;65,1;0,5;15,1;0,08;0;0,064;14,3;1,3;0;120;5;0,013;TRUE;[]
23493;23493;7;Apple crumble;Crumble de manzana;0;2,19;33,8;9,5;2,51;6,25;19;1,7;0,5;75,6;34;0,085;TRUE;[4]
2074;2074;6;Apple juice, pure juice;Jugo de manzana, jugo puro;48,9;0,17;11,4;0,14;0,045;0,046;10,9;0,23;0;113;13,3;0,022;FALSE;[]
2014;2014;6;Apple juice, reconstituted from a concentrate;Jugo de manzana, reconstituido a partir de un concentrado;48,5;0,24;11,3;0,098;0,059;0,033;10,8;0,3;0;128;3,98;0,014;FALSE;[]
2076;2076;6;Apple nectar;Néctar de manzana;0;0,14;10,9;0,075;0;0,05;10,6;0,1;0;64,9;4;0,01;TRUE;[]
23481;23481;7;Apple pie with custard (flour, eggs, cream, sugar, apple alcohol);Tarta de manzana con crema pastelera (harina, huevos, crema, azúcar, alcohol de manzana);313;4,44;38,7;15;5,6;8,37;25,8;2,5;71,4;180;93;0,23;TRUE;[4,7,8]
23490;23490;7;Apple tart;Tarta de manzana;0;2,52;32,7;8,79;4,13;4,66;20,7;3,3;19;149;122;0,31;TRUE;[4]
23480;23480;7;Apple turnover;Hojaldre de manzana;338;4,17;36,6;18,7;4,01;10,3;11,2;3,1;45,6;106;340;0,87;TRUE;[4]
13085;13085;2;Apple, Canada, pulp, raw;Manzana, Canadá, pulpa, cruda;0;0,4;11,6;0,1;0,19;0,092;11;1,6;0;154;3,69;0,0092;TRUE;[]
13111;13111;2;Apple, dried;Manzana, seca;0;0,78;57,2;0,31;0,152;0,058;54,6;8,7;0;450;87;0,22;TRUE;[]
13039;13039;2;Apple, pulp and peel, raw;Manzana, pulpa y piel, cruda;0;0,25;11,6;0,25;0,16;0,052;9,35;1,4;0;119;1,5;0,0037;TRUE;[]
13050;13050;2;Apple, pulp, raw;Manzana, pulpa, cruda;0;0,27;10,7;0,13;0,042;0,021;10,1;1,3;0;90;0;0;TRUE;[]
13175;13175;2;Apple, pulp, roasted/baked;Manzana, pulpa, asada/horneada;0;0,5;21;0,5;0,19;0,092;17,5;3;0;150;5;0,01;TRUE;[]
13190;13190;2;Apple, var. Chanteclerc, pulp, raw;Manzana, var. Chanteclerc, pulpa, cruda;51,8;0,5;11,2;0,5;0,097395;0,035938;10,8;1,9;0;120;5;0,013;TRUE;[]
13191;13191;2;Apple, var. Gala, pulp, raw;Manzana, var. Gala, pulpa, cruda;54,5;0,5;11,9;0,5;0,089279;0,032943;11,1;1,9;0;91;5;0,013;TRUE;[]
13620;13620;2;Apple, var. Golden, pulp and skin, raw;Manzana, var. Golden, pulpa y piel, cruda;57,1;0,5;12,8;0,5;0,089279;0,032943;11,5;1,4;0;130;5;0,013;TRUE;[]
13086;13086;2;Apple, var. Golden, pulp, raw;Manzana, var. Golden, pulpa, cruda;54,9;0,5;11,7;0,5;0,089279;0,032943;11,3;2,5;0;110;5;0,013;TRUE;[]
13122;13122;2;Apple, var. Granny Smith, pulp and skin, raw;Manzana, var. Granny Smith, pulpa y piel, cruda;51,5;0,5;10,7;0,5;0,089279;0,032943;10,1;2,8;0;110;5;0,013;TRUE;[]
13121;13121;2;Apple, var. Granny Smith, pulp, raw;Manzana, variedad Granny Smith, pulpa, cruda;53,9;0,5;11,4;0,5;0,089279;0,032943;10,6;2,6;0;110;5;0,013;TRUE;[]
13192;13192;2;Apple, var. Pink lady, pulp, raw;Manzana, variedad Pink Lady, pulpa, cruda;60,1;0,5;12,8;0,5;0,089279;0,032943;12,3;2,9;0;110;5;0,013;TRUE;[]
13176;13176;2;Apples, raw, without skin, cooked, boiled/cooked in water;Manzanas, crudas, sin piel, cocidas, hervidas/cocidas en agua;0;0,26;11,2;0,36;0,114;0,058;11;2,4;0;88;1;0,0025;TRUE;[]
17020;17020;9;Apricot kernel oil;Aceite de hueso de albaricoque;900;0;0;100;89,3;6,3;0;0;0;0;0;0;FALSE;[]
2043;2043;6;Apricot nectar;Néctar de albaricoque;0;0,21;13,7;0,03;0,0189;0,005;11;0,08;0;114;1,68;0,0042;FALSE;[]
13712;13712;2;Apricot, canned in light syrup, drained;Albaricoque, enlatado en almíbar ligero, escurrido;0;0,94;13,7;0,5;0,19;0,092;13,3;1,4;0;140;9,7;0,024;FALSE;[]
13713;13713;2;Apricot, canned in light syrup, not drained;Albaricoque, enlatado en almíbar ligero, sin escurrir;0;0,81;14;0,043;0,031;0,003;14;0,83;0;136;9,86;0,025;FALSE;[]
13704;13704;2;Apricot, canned in syrup (sugar content unknown), drained;Albaricoque, enlatado en almíbar (contenido de azúcar desconocido), escurrido;;0,5;16,2;0,25;0,19;0,092;15,3;1,4;;130;12;0,03;FALSE;[]
13714;13714;2;Apricot, in syrup, canned, drained;Albaricoque, en almíbar, enlatado, escurrido;0;0,5;16,2;0,5;0,19;0,092;15,3;1,4;0;130;12;0,03;FALSE;[]
13715;13715;2;Apricot, in syrup, canned, not drained;Albaricoque, en almíbar, enlatado, sin escurrir;0;0,29;16,6;0,5;0,19;0,092;15,1;0,81;0;114;12;0,03;FALSE;[]
13001;13001;2;Apricot, pitted, dried;Albaricoque, deshuesado, seco;239;2,88;59,1;0,5;0,27;0,19;34,3;8,3;0;1400;5;0,013;FALSE;[]
13623;13623;2;Apricot, pitted, dried, rehydrated to 35-45% water;Albaricoque, deshuesado, seco, rehidratado al 35-45% de agua;200;2,31;51,1;0,4;0,2;0,16;29,9;3,5;0;980;5;0,013;FALSE;[]
13000;13000;2;Apricot, pitted, raw;Albaricoque, deshuesado, crudo;45,9;0,81;9,01;0,5;0,261344;0,096434;6,7;1,7;0;260;5;0,013;TRUE;[]
23494;23494;7;Apricots tart;Tarta de albaricoques;0;3,18;41;10,7;2,67;6,43;17,4;5,9;39,8;0;89,3;0,22;FALSE;[4]
26171;26171;4;Arctic char, raw;Trucha ártica, cruda;103;19,8;0;2,7;0;2,2;0;0;48;370;57,5;0,14;TRUE;[]
17900;17900;9;Argan oil;Aceite de argán;889;0;0;98,7;78,1;17,6;0;0;0;0;0;0;FALSE;[]
11111;11111;10;Armorican-style sauce, prepacked;Salsa al estilo armoricano, envasada;0;2,1;3,95;6,6;0,0096;6,3;0,73;0;0;58,9;530;1,3;FALSE;[5,9]
11172;11172;10;Aromatic stock cube, for fish, dehydrated;Cubito de caldo aromático, para pescado, deshidratado;260;5;7;23;0;16;4,5;2,5;0;0;19000;47,5;TRUE;[2]
20156;20156;2;Artichoke base, canned, drained;Base de alcachofa, enlatada, escurrida;25,2;1,2;3,02;0,5;0,253228;0,093439;0,8;2,6;0;140;293;0,73;FALSE;[]
20232;20232;2;Artichoke base, frozen, raw;Base de alcachofa, congelada, cruda;0;2,08;8,09;0,43;0;0,1;1,89;7,54;0;0;45;0,18;FALSE;[]
20067;20067;2;Artichoke, canned, drained;Alcachofa, enlatada, escurrida;0;1,5;6,5;0,2;0;0;1,5;3;0;0;320;0,8;FALSE;[]
20000;20000;2;Artichoke, globe, cooked;Alcachofa, tipo globo, cocida;0;2,53;0,99;0,28;0,151;0,069;0,99;8,3;0;427;60;0,15;FALSE;[]
20052;20052;2;Artichoke, globe, raw;Alcachofa, tipo globo, cruda;0;3,2;4,92;0,18;0,069;0,036;0,99;5,4;0;387;60,5;0,15;TRUE;[]
20155;20155;2;Artichoke, heart, canned, drained;Corazón de alcachofa, enlatado, escurrido;26;1,8;2,31;0,5;0,256474;0,094637;1,2;3,2;0;150;310;0,78;FALSE;[]
20074;20074;2;Artichoke, steamed;Alcachofa, al vapor;47,3;2,63;3,24;0,3;0,163949;0,060496;1,9;10,9;0;480;27;0,068;FALSE;[]
12761;12761;5;Asiago cheese, from cow's milk;Queso Asiago, de leche de vaca;356;32,1;0;25,6;9,18;15,9;0;0;90;97;760;1,9;FALSE;[8]
9085;9085;3;Asian noodles, flavoured, cooked;Fideos asiáticos, con sabor, cocidos;147;4,78;18,8;4,3;3,61;0,5;2;6,3;0;0;470;1,2;FALSE;[4]
9863;9863;3;Asian noodles, flavoured, dehydrated;Fideos asiáticos, con sabor, deshidratados;371;11,9;71;3;0;1;0,5;4;0;0;397;0,99;FALSE;[4]
9086;9086;3;Asian noodles, plain, cooked, unsalted;Fideos asiáticos, sin sabor, cocidos, sin sal;165;3,5;21,4;6,9;3,44;3,16;0;1;0;26;93,6;0,23;FALSE;[4]
20001;20001;2;Asparagus, boiled/cooked in water;Espárragos, hervidos/cocidos en agua;0;2,68;0,81;0,32;0,163;0,072;0,81;1,8;0;198;8,5;0,021;FALSE;[]
20076;20076;2;Asparagus, canned, drained;Espárragos, enlatados, escurridos;0;1,58;1,43;0,27;0,182;0,085;1,23;1,5;0;142;291;0,73;FALSE;[]
20299;20299;2;Asparagus, green, boiled/cooked in water;Espárragos verdes, hervidos/cocidos en agua;26,6;2,69;1,73;0,3;0,19;0,07;1,3;2,2;0;220;5;0,013;FALSE;[]
20279;20279;2;Asparagus, green, raw;Espárragos verdes, crudos;0;2,46;2,03;0,27;0,167;0,069;1,5;2,15;0;267;3,85;0,014;TRUE;[]
20073;20073;2;Asparagus, peeled, raw;Espárragos, pelados, crudos;0;2,04;2,4;0,21;0,103;0,051;1,88;1,95;0;202;4,2;0,011;TRUE;[]
20282;20282;2;Asparagus, white or purple, peeled, raw;Espárragos, blancos o morados, pelados, crudos;0;2,5;2,5;0,3;0,176;0,07;0;1,8;0;169;7,7;0,019;TRUE;[]
20277;20277;2;Asparagus, white, boiled/cooked in water;Espárragos blancos, hervidos/cocidos en agua;18,6;1,44;1,63;0,3;0,16;0,1;1,2;1,3;0;120;5;0,013;FALSE;[]
11506;11506;7;Aspartame sweetener, in tablets;Edulcorante de aspartamo, en tabletas;216;6,35;69,3;0;0;0;6,65;2,2;0;0;327;0,82;FALSE;[]
11509;11509;7;Aspartame, in powder;Aspartamo, en polvo;0;0,63;94,7;0,25;0;0;9,33;0,25;0;0;12,6;0,028;FALSE;[]
26075;26075;4;Atlantic bass, raw;Lubina atlántica, cruda;89,9;16,6;0;2,61;1,71;0,42;0;0;50;286;99;0,25;TRUE;[]
26069;26069;4;Atlantic bluefin tuna, raw;Atún rojo del Atlántico, crudo;155;23,3;0;6,81;3,03;1,26;0;0;38;252;39;0,098;TRUE;[]
26102;26102;4;Atlantic chub mackerel, raw;Caballa chub del Atlántico, cruda;135;22,1;0;5,15;2,35;1,59;0;0;76;446;59;0,15;TRUE;[]
26009;26009;4;Atlantic halibut, raw;Halibut del Atlántico, crudo;96,5;21,2;0;1,31;0,96;0,21;0;0;43,7;424;59;0,15;TRUE;[]
26012;26012;4;Atlantic herring, fried;Arenque del Atlántico, frito;201;23;0;12,1;8,08;3,51;0;0;57;0;0;0;FALSE;[]
26014;26014;4;Atlantic herring, grilled/pan-fried;Arenque del Atlántico, a la parrilla/o frito en sartén;189;21,6;0;11,4;7,53;2,48;0;0;54,3;425;138;0,34;FALSE;[]
26237;26237;4;Atlantic herring, lean, raw;Arenque del Atlántico, magro, crudo;111;18,3;0;4,22;2,12;0,83;0;0;50;450;75;0,19;TRUE;[]
26010;26010;4;Atlantic herring, marinated, or rollmops;Arenque del Atlántico, marinado, o rollmops;211;13,7;8;13,8;9,94;2,51;1,9;0;36,5;56,5;1030;2,56;FALSE;[14]
26238;26238;4;Atlantic herring, oily, raw;Arenque del Atlántico, graso, crudo;172;18,7;0;10,8;7,53;2,23;0;0;54,7;421;52,4;0,13;TRUE;[]
26011;26011;4;Atlantic herring, raw;Arenque del Atlántico, crudo;176;17,7;0;11,7;8,02;2,82;0;0;55,6;342;89,2;0,22;TRUE;[]
25998;25998;4;Atlantic herring, smoked, fillet;Arenque del Atlántico, ahumado, filete;162;18,1;0;9,9;7,1;2,24;0;0,5;54,9;380;1510;3,78;FALSE;[14]
26232;26232;4;Atlantic herring, smoked, in oil;Arenque del Atlántico, ahumado, en aceite;168;15,1;2;11;7,43;3,12;0;0;49,9;173;1630;4,08;FALSE;[14]
26013;26013;4;Atlantic herring, smoked, plain;Arenque del Atlántico, ahumado, natural;173;16,5;0,5;11,7;6,73;2,76;0;0;49,9;226;1590;3,98;FALSE;[]
20999;20999;10;Atlantic wakame (Alaria esculenta), dried or dehydrated;Wakame del Atlántico (Alaria esculenta), seco o deshidratado;187;12,3;6,28;1,53;1,043019;0,476981;0;49,5;0;2180;1920;4,81;FALSE;[]
25624;25624;10;Aubergine caviar, prepacked;Caviar de berenjena, envasado;0;0,71;4,3;21;19,37;0,65;1,85;2,93;0;0;562;1,36;FALSE;[]
12521;12521;5;Auvergne blue cheese, from cow's milk;Queso azul de Auvernia, de leche de vaca;343;22,4;0;28,4;7,76;19;0;0;59;126;1050;2,85;FALSE;[8]
17100;17100;9;Avocado oil;Aceite de aguacate;900;0;0;100;75,7;17,9;0;0;0;0;0;0;TRUE;[]
13004;13004;2;Avocado, pulp, raw;Aguacate, pulpa, crudo;205;1,56;0,83;20,6;15,13;4,51;0,4;3,6;0,5;430;6;0,015;TRUE;[]
13157;13157;11;Baby food jar with banana;Tarro de comida para bebés con plátano;0;0,6;12,4;0,5;1,35;1,12;12;2,3;700;150;1,46;0,0042;TRUE;[]
20247;20247;11;Baby food jar with vegetables and starch, from 4-6 months;Tarro de comida para bebés con verduras y almidón, para 4-6 meses;41,7;1,3;6,45;0,8;0,55;0,088;0,5;1,75;700;144;8,95;0,022;FALSE;[]
20246;20246;11;Baby food jar with vegetables, from 4-6 months;Tarro de comida para bebés con verduras, para 4-6 meses;26,3;0,9;3,8;0,5;0,144795;0,11076;3,7;2,6;700;135;16,6;0,042;FALSE;[]
13158;13158;11;Baby food jar without banana;Tarro de comida para bebés sin plátano;0;0,29;11,9;0,5;1,35;1,12;10,2;2,07;700;123;0,57;0,002;TRUE;[]
3000;3000;11;Baby milk, first age, powder;Leche para bebés, primera etapa, en polvo;496;10,9;55;25,3;14,31838;10,95273;38,7;2,48;0;696;162;0,4;FALSE;[8]
19013;19013;11;Baby milk, first milk, ready to feed;Leche para bebés, primera leche, lista para consumir;71,8;1,21;8,04;3,79;2,08;1,48;6,72;0,5;2,33;78,4;16;0,04;FALSE;[8]
19014;19014;11;Baby milk, follow on milk, ready to feed;Leche para bebés, leche de continuación, lista para consumir;65,1;1,21;8,23;2,9;1,55;1,14;5,63;0,5;2,5;82,3;22;0,055;FALSE;[8]
19015;19015;11;Baby milk, for premature infant, ready to feed;Leche para bebés, para recién nacidos prematuros, lista para consumir;0;0;48,5;24,7;1,35;1,12;35;3,55;0;0;372;0,93;FALSE;[8]
19012;19012;11;Baby milk, growing up milk, ready to feed;Leche para bebés, leche de crecimiento, lista para consumir;60,9;1,28;7,77;2,71;1,41;1,1;5,98;0;4,54;99,8;24;0,06;FALSE;[8]
3002;3002;11;Baby milk, second age, powder;Leche para bebés, segunda etapa, en polvo;484;11,6;56,3;23,2;13,1021;10,02235;36,4;2,14;0;0;184;0,46;FALSE;[8]
28727;28727;4;Bacon, back;Bacon, lomo;118;23,1;0,7;2,6;1,46;1,02;0,2;0;47,2;470;1270;3,18;FALSE;[]
7258;7258;3;Bagel;Bagel;272;9,26;47,3;3,98;0,96;1,02;5,36;3,42;0;122;410;1,08;FALSE;[4]
39518;39518;8;baked Alaska;Alaska horneado;212;3,6;34,8;6,5;2,03;3,9;32,7;0,5;52,5;160;58,3;0,15;FALSE;[]
11010;11010;10;Baker's yeast, compressed;Levadura de panadero, comprimida;0;8,23;11,9;1,9;1,1445;0,26;0;7,15;0;606;23;0,058;FALSE;[4]
11045;11045;10;Baker's yeast, dehydrated;Levadura de panadero, deshidratada;0;44,5;17,9;6,37;4,327;1,5;0;23,3;0;955;226;0,56;FALSE;[]
11046;11046;10;Baking powder or raising agent;Polvo para hornear o agente leudante;0;1,96;33,2;0,2;2,2;1,46;0,1;1,9;0;30,8;14200;0;FALSE;[]
23300;23300;7;Baklava (oriental pastry with almonds and syrup);Baklava (pastel oriental con almendras y jarabe);0;10,4;49,2;24,5;19,24;4,7;39,6;1;37;255;29,8;0,075;TRUE;[4]
20188;20188;2;Bamboo shoots, canned, drained;Brotes de bambú, enlatados, escurridos;0;1,61;1,9;0,15;0,082;0,041;1,15;1,25;0;196;74,1;0,19;FALSE;[]
20198;20198;2;Bamboo shoots, raw;Brotes de bambú, crudos;35,1;2,52;5,08;0,2;0,1053;0,053;3;1,45;0;517;4;0,01;TRUE;[]
2366;2366;6;Banana nectar;Néctar de banana;0;0,23;13,6;0,048;0;0,03;12,6;0,51;0;91;1,82;0,0046;TRUE;[]
13089;13089;2;Banana, pulp, dried;Pulpa de banana, deshidratada;0;3,89;78,4;1,81;0,49;0,7;47,3;9,9;0;1490;3;0,0075;TRUE;[]
13005;13005;2;Banana, pulp, raw;Pulpa de banana, cruda;90,5;1,06;19,7;0,5;0,167195;0,061694;15,6;2,7;0;320;5;0,013;TRUE;[]
11100;11100;10;Barbecue sauce, prepacked;Salsa barbacoa, envasada;136;0,56;30,3;0,6;0,45;0,1;27,5;1,2;0;220;706;1,77;FALSE;[10,14]
9550;9550;3;Barley flour;Harina de cebada;339;9,91;64,5;2,3;1,3;0,43;0,8;8,85;0;335;3,25;0,0081;FALSE;[4]
9320;9320;3;Barley, whole, raw;Cebada, entera, cruda;334;12,5;56,2;2,3;1,41;0,48;0,8;17,3;0;452;12;0,03;FALSE;[4]
11032;11032;10;Basil, dried;Albahaca, seca;244;23;10,1;4,07;1,74;2,16;1,71;37,7;0;2630;76;0,19;FALSE;[]
11033;11033;10;Basil, fresh;Albahaca, fresca;34,8;3,35;2,55;0,47;0,246;0,13;0,37;3,47;0;295;12;0,028;FALSE;[]
9119;9119;3;Basmati rice, raw;Arroz basmati, crudo;353;7,67;77,8;0,84;0,53;0,19;0,17;0,92;0;0;6,39;0,014;TRUE;[]
23803;23803;7;Basque cake (shortbread), with cherries;Pastel vasco (mantecado), con cerezas;0;4,3;63,3;13,5;0;9,1;42;1,4;0;0;170;0,43;FALSE;[4,8]
23802;23802;7;Basque cake (shortbread), with custard;Pastel vasco (mantecado), con crema pastelera;0;4,03;57,4;13,3;3,18;7,55;28,1;1;53,1;100;189;0,47;FALSE;[4,8,7]
11170;11170;10;Basque-style sauce or tomato sauce with sweet peppers, prepacked;Salsa al estilo vasco o salsa de tomate con pimientos dulces, envasada;63,1;1,17;7,41;2,71;2,11;0,49;4,46;2,09;0;0;460;1,13;FALSE;[]
11053;11053;10;Bay, leaves;Laurel, hojas;353;7,61;48,6;8,36;3,93;2,28;48,6;26,3;0;529;23;0,058;FALSE;[]
28811;28811;4;Bayonne Cured ham, raw, smoked;Jamón curado de Bayona, crudo, ahumado;228;28;0,63;12,6;7,1;4,93;0,5;0;0;554;2270;5,75;FALSE;[14]
20530;20530;2;Beans, mung, mature, seeds, dry;Frijoles mungo, maduros, semillas, secas;0;24,5;47,6;1,42;0,86;0,24;0;16,7;0;1110;26,5;0,066;TRUE;[]
11102;11102;10;Bearnaise sauce, prepacked;Salsa Bearnesa, envasada;0;0,88;4,52;47,7;41,8;3,55;2,3;0,48;48,9;39;778;1,95;FALSE;[7,8]
12105;12105;5;Beaufort cheese, from cow's milk;Queso Beaufort, de leche de vaca;410;26,5;0;34;5,84;19,2;0;0;0;118;506;1,27;FALSE;[8]
11143;11143;10;Bechamel sauce, home-made;Salsa Bechamel, casera;0;3,84;8,97;10,6;7,28;2,85;4,38;0,2;7;156;354;0,89;FALSE;[8]
11101;11101;10;Bechamel sauce, prepacked;Salsa Bechamel, envasada;0;2,56;6,2;7,4;2,2;4,61;3,1;1,3;30;126;274;0,69;FALSE;[8]
25538;25538;1;Beef carpaccio, w marinade;Carpaccio de res, con marinada;271;15,2;0,55;23;14;7,38;0,5;0,36;55,6;242;437;1,12;TRUE;[14]
25505;25505;4;Beef on skewer;Res en brocheta;191;17,1;1,02;12,9;8,7;3,12;0;1;42,8;307;50;0,13;TRUE;[]
25585;25585;1;Beef on skewer, with vegetables (onion, sweet pepper…), cooked;Res en brocheta, con verduras (cebolla, pimiento dulce...), cocida;139;21,9;0,33;5,2;3,06;1,8;0;3;60,2;430;345;0,86;TRUE;[]
25065;25065;1;Beef stew with carrots;Estofado de res con zanahorias;96,6;13,2;3,3;3,15;1,91;1,21;0,6;1,1;47;119;231;0,58;TRUE;[]
25201;25201;1;Beef tongue with Madeira wine sauce, prepacked;Lengua de res con salsa de vino Madeira, envasada;180;9,5;4,5;13,5;0;6;2,5;1;0;0;430;1,08;FALSE;[14]
6208;6208;4;Beef, bolar-blade, grilled/pan-fried;Res, corte de paleta, a la parrilla/salteada;144;26,7;0;4,11;1,83;1,53;0;0;0;0;0;0;TRUE;[]
6202;6202;4;Beef, bolar-blade, raw;Carne de res, bolar-blade, cruda;118;21,8;0;3,36;1,46;1,23;0;0;59;354;37,9;0,097;TRUE;[]
6214;6214;4;Beef, bolar-blade, roasted/baked;Carne de res, bolar-blade, asada/horneada;147;27,3;0;4,2;1,89;1,59;0;0;0;0;0;0;TRUE;[]
6101;6101;4;Beef, braised;Carne de res, estofada;240;32,1;0;12,4;5,28;5,72;0;0;0;0;0;0,15;TRUE;[]
6141;6141;4;Beef, cheek, braised or boiled;Carne de res, mejilla, estofada o hervida;236;39,2;0;8,82;3,98;3,19;0;0;0;0;0;0;TRUE;[]
6140;6140;4;Beef, cheek, raw;Carne de res, mejilla, cruda;136;22,3;0,4;5,02;2,26;1,81;0;0;0;0;71;0,18;TRUE;[]
6003;6003;4;Beef, chuck steak, raw;Carne de res, filete de aguja, crudo;201;19;1,45;13,2;5,38;5,94;0,5;0;0;0;68;0,17;TRUE;[]
6271;6271;4;Beef, chuck, braised or boiled;Carne de res, aguja, estofada o hervida;251;36,8;0,2;11,4;5,13;4,5;0;0;113;298;67;0,17;TRUE;[]
6270;6270;4;Beef, chuck, raw;Carne de res, aguja, cruda;144;21,2;0;6,54;2,96;2,59;0;0;67;343;49;0,12;TRUE;[]
